Temp_C,Date,Hour,AM_PM,Time,Date_Time,Logger_ID,MO,Tide_AMSL_m,Tide_ht,Pipe_position
6.105,2020-07-05,5:01:01,AM,5:01,7/5/2020 5:01,T11,N,1.7,H,Downstream
7.109,2020-07-05,6:01:01,AM,6:01,7/5/2020 6:01,T11,N,1.7,H,Downstream
10.12,2020-07-05,7:01:01,AM,7:01,7/5/2020 7:01,T11,N,1.7,H,Downstream
12.127,2020-07-05,8:01:01,AM,8:01,7/5/2020 8:01,T11,N,1.7,H,Downstream
15.636,2020-07-05,9:01:01,AM,9:01,7/5/2020 9:01,T11,N,1.7,H,Downstream
17.139,2020-07-05,10:01:01,AM,10:01,7/5/2020 10:01,T11,N,1.7,H,Downstream
22.145,2020-07-05,11:01:01,AM,11:01,7/5/2020 11:01,T11,N,1.7,H,Downstream
31.642,2020-07-05,12:01:01,PM,12:01,7/5/2020 12:01,T11,N,1.7,H,Downstream
36.133,2020-07-05,1:01:01,PM,13:01,7/5/2020 13:01,T11,N,1.7,H,Downstream
38.128,2020-07-05,2:01:01,PM,14:01,7/5/2020 14:01,T11,N,1.7,H,Downstream
41.118,2020-07-05,3:01:01,PM,15:01,7/5/2020 15:01,T11,N,1.7,H,Downstream
39.623,2020-07-05,4:01:01,PM,16:01,7/5/2020 16:01,T11,N,1.7,H,Downstream
36.133,2020-07-05,5:01:01,PM,17:01,7/5/2020 17:01,T11,N,1.7,H,Downstream
32.64,2020-07-05,6:01:01,PM,18:01,7/5/2020 18:01,T11,N,1.7,H,Downstream
25.646,2020-07-05,7:01:01,PM,19:01,7/5/2020 19:01,T11,N,1.7,H,Downstream
13.631,2020-07-05,8:01:01,PM,20:01,7/5/2020 20:01,T11,N,1.7,H,Downstream
13.631,2020-07-05,9:01:01,PM,21:01,7/5/2020 21:01,T11,N,1.7,H,Downstream
13.13,2020-07-05,10:01:01,PM,22:01,7/5/2020 22:01,T11,N,1.7,H,Downstream
9.619,2020-07-05,11:01:01,PM,23:01,7/5/2020 23:01,T11,N,1.7,H,Downstream
9.117,2020-07-06,12:01:01,AM,0:01,7/6/2020 0:01,T11,N,1.7,H,Downstream
8.615,2020-07-06,1:01:01,AM,1:01,7/6/2020 1:01,T11,N,1.7,H,Downstream
8.113,2020-07-06,2:01:01,AM,2:01,7/6/2020 2:01,T11,N,1.7,H,Downstream
8.113,2020-07-06,3:01:01,AM,3:01,7/6/2020 3:01,T11,N,1.7,H,Downstream
8.113,2020-07-06,4:01:01,AM,4:01,7/6/2020 4:01,T11,N,1.7,H,Downstream
8.113,2020-07-06,5:01:01,AM,5:01,7/6/2020 5:01,T11,N,1.7,H,Downstream
11.124,2020-07-06,6:01:01,AM,6:01,7/6/2020 6:01,T11,N,1.7,H,Downstream
12.127,2020-07-06,7:01:01,AM,7:01,7/6/2020 7:01,T11,N,1.7,H,Downstream
13.631,2020-07-06,8:01:01,AM,8:01,7/6/2020 8:01,T11,N,1.7,H,Downstream
15.135,2020-07-06,9:01:01,AM,9:01,7/6/2020 9:01,T11,N,1.7,H,Downstream
17.64,2020-07-06,10:01:01,AM,10:01,7/6/2020 10:01,T11,N,1.7,H,Downstream
27.146,2020-07-06,11:01:01,AM,11:01,7/6/2020 11:01,T11,N,1.7,H,Downstream
30.643,2020-07-06,12:01:01,PM,12:01,7/6/2020 12:01,T11,N,1.7,H,Downstream
35.634,2020-07-06,1:01:01,PM,13:01,7/6/2020 13:01,T11,N,1.7,H,Downstream
42.114,2020-07-06,2:01:01,PM,14:01,7/6/2020 14:01,T11,N,1.7,H,Downstream
35.634,2020-07-06,3:01:01,PM,15:01,7/6/2020 15:01,T11,N,1.7,H,Downstream
37.13,2020-07-06,4:01:01,PM,16:01,7/6/2020 16:01,T11,N,1.7,H,Downstream
40.121,2020-07-06,5:01:01,PM,17:01,7/6/2020 17:01,T11,N,1.7,H,Downstream
38.128,2020-07-06,6:01:01,PM,18:01,7/6/2020 18:01,T11,N,1.7,H,Downstream
32.141,2020-07-06,7:01:01,PM,19:01,7/6/2020 19:01,T11,N,1.7,H,Downstream
14.132,2020-07-06,8:01:01,PM,20:01,7/6/2020 20:01,T11,N,1.7,H,Downstream
13.631,2020-07-06,9:01:01,PM,21:01,7/6/2020 21:01,T11,N,1.7,H,Downstream
13.631,2020-07-06,10:01:01,PM,22:01,7/6/2020 22:01,T11,N,1.7,H,Downstream
13.13,2020-07-06,11:01:01,PM,23:01,7/6/2020 23:01,T11,N,1.7,H,Downstream
12.628,2020-07-07,12:01:01,AM,0:01,7/7/2020 0:01,T11,N,1.7,H,Downstream
12.628,2020-07-07,1:01:01,AM,1:01,7/7/2020 1:01,T11,N,1.7,H,Downstream
12.628,2020-07-07,2:01:01,AM,2:01,7/7/2020 2:01,T11,N,1.7,H,Downstream
12.628,2020-07-07,3:01:01,AM,3:01,7/7/2020 3:01,T11,N,1.7,H,Downstream
12.628,2020-07-07,4:01:01,AM,4:01,7/7/2020 4:01,T11,N,1.7,H,Downstream
12.127,2020-07-07,5:01:01,AM,5:01,7/7/2020 5:01,T11,N,1.7,H,Downstream
12.127,2020-07-07,6:01:01,AM,6:01,7/7/2020 6:01,T11,N,1.7,H,Downstream
13.13,2020-07-07,7:01:01,AM,7:01,7/7/2020 7:01,T11,N,1.7,H,Downstream
13.13,2020-07-07,8:01:01,AM,8:01,7/7/2020 8:01,T11,N,1.7,H,Downstream
15.636,2020-07-07,9:01:01,AM,9:01,7/7/2020 9:01,T11,N,1.7,H,Downstream
19.142,2020-07-07,10:01:01,AM,10:01,7/7/2020 10:01,T11,N,1.7,H,Downstream
28.645,2020-07-07,11:01:01,AM,11:01,7/7/2020 11:01,T11,N,1.7,H,Downstream
32.64,2020-07-07,12:01:01,PM,12:01,7/7/2020 12:01,T11,N,1.7,H,Downstream
31.642,2020-07-07,1:01:01,PM,13:01,7/7/2020 13:01,T11,N,1.7,H,Downstream
39.125,2020-07-07,2:01:01,PM,14:01,7/7/2020 14:01,T11,N,1.7,H,Downstream
34.138,2020-07-07,3:01:01,PM,15:01,7/7/2020 15:01,T11,N,1.7,H,Downstream
28.645,2020-07-07,4:01:01,PM,16:01,7/7/2020 16:01,T11,N,1.7,H,Downstream
23.646,2020-07-07,5:01:01,PM,17:01,7/7/2020 17:01,T11,N,1.7,H,Downstream
23.646,2020-07-07,6:01:01,PM,18:01,7/7/2020 18:01,T11,N,1.7,H,Downstream
22.145,2020-07-07,7:01:01,PM,19:01,7/7/2020 19:01,T11,N,1.7,H,Downstream
18.641,2020-07-07,8:01:01,PM,20:01,7/7/2020 20:01,T11,N,1.7,H,Downstream
13.631,2020-07-07,9:01:01,PM,21:01,7/7/2020 21:01,T11,N,1.7,H,Downstream
13.13,2020-07-07,10:01:01,PM,22:01,7/7/2020 22:01,T11,N,1.7,H,Downstream
13.13,2020-07-07,11:01:01,PM,23:01,7/7/2020 23:01,T11,N,1.7,H,Downstream
12.628,2020-07-08,12:01:01,AM,0:01,7/8/2020 0:01,T11,N,1.7,H,Downstream
12.628,2020-07-08,1:01:01,AM,1:01,7/8/2020 1:01,T11,N,1.7,H,Downstream
12.127,2020-07-08,2:01:01,AM,2:01,7/8/2020 2:01,T11,N,1.7,H,Downstream
12.127,2020-07-08,3:01:01,AM,3:01,7/8/2020 3:01,T11,N,1.7,H,Downstream
11.625,2020-07-08,4:01:01,AM,4:01,7/8/2020 4:01,T11,N,1.7,H,Downstream
11.625,2020-07-08,5:01:01,AM,5:01,7/8/2020 5:01,T11,N,1.7,H,Downstream
11.625,2020-07-08,6:01:01,AM,6:01,7/8/2020 6:01,T11,N,1.7,H,Downstream
12.127,2020-07-08,7:01:01,AM,7:01,7/8/2020 7:01,T11,N,1.7,H,Downstream
15.135,2020-07-08,8:01:01,AM,8:01,7/8/2020 8:01,T11,N,1.7,H,Downstream
15.636,2020-07-08,9:01:01,AM,9:01,7/8/2020 9:01,T11,N,1.7,H,Downstream
18.641,2020-07-08,10:01:01,AM,10:01,7/8/2020 10:01,T11,N,1.7,H,Downstream
28.645,2020-07-08,11:01:01,AM,11:01,7/8/2020 11:01,T11,N,1.7,H,Downstream
35.135,2020-07-08,12:01:01,PM,12:01,7/8/2020 12:01,T11,N,1.7,H,Downstream
